# Det1
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-233.466 626.944 -50 -0.0810974 0.120734 0.922203 18.7661 22 11065 1001 1 1 0.763386 0.763386 4 
1617.91 -10.4054 -50 0.295431 0.0408356 0.829208 18.8177 22 19856 1001 1 1 0 0 1 
1267.02 695.146 -50 0.153019 0.0941011 0.616769 18.1672 22 24736 1001 1 1 0 0 1 
-1295.18 1384.22 -50 -0.267457 0.311435 1.25438 19.2099 22 24916 1001 1 1 0.703615 0.703615 2 
-1288.03 810.614 -50 -0.148538 0.112283 0.605923 18.4495 22 25657 1001 1 1 0.441153 0.441153 5 
-668.874 751.559 -50 -0.105618 0.155017 0.880797 18.0119 22 40387 1001 1 1 0 0 1 
-925.512 1129.82 -50 -0.159107 0.146711 0.738772 19.0037 22 51839 1001 1 1 0.572779 0.572779 2 
1505.83 -1170.65 -50 0.286281 -0.237086 1.06459 18.8591 22 52089 1010 1 1 0 0 1 
-1127.65 998.513 -50 -0.21663 0.130639 0.835442 18.6673 22 57880 1001 1 1 0.690969 0.690969 3 
-1482.28 660.63 -50 -0.475198 0.165162 1.34864 19.3559 22 60961 1001 1 1 0 0 1 
39.0426 -556.965 -50 -0.0471346 -0.19165 1.57993 17.7871 22 69882 1001 1 1 0 0 1 
1149.18 290.311 -50 0.238582 0.0766823 1.27341 18.3626 22 78071 1001 1 1 1.22665 1.22665 8 
-1708.11 1097.09 -50 -0.260818 0.189669 0.741611 19.118 22 78073 1001 1 1 0 0 1 
520.304 1038.22 -50 0.0805637 0.163974 0.650938 18.2213 22 81896 1009 1 1 0.676048 0.676048 15 
-1894.51 -530.859 -50 -0.371558 -0.131299 0.836973 19.9062 22 88821 1001 1 1 0 0 1 
-984.815 -148.615 -50 -0.297823 -0.0413662 1.22891 20.1247 22 103193 1001 1 1 0 0 1 
-1579.23 -139.22 -50 -0.89212 -0.0890806 2.7651 18.6017 22 103763 1001 1 1 2.72955 2.72955 4 
1245.12 1497.23 -50 0.327166 0.279513 1.03683 19.3823 22 105210 1001 1 1 1.01867 1.01867 8 
-657.988 540.774 -50 -0.0649692 0.0832009 0.452492 18.4429 22 112501 1001 1 1 0.308653 0.308653 3 
1409.64 -1908.15 -50 0.282734 -0.370502 0.876968 19.8637 22 113696 1001 1 1 0 0 1 
-690.718 -501.377 -50 -0.258825 -0.171022 1.80454 17.7047 22 134850 1028 1 1 0 0 1 
697.988 -1251.97 -50 0.0941822 -0.126185 0.727037 23.8837 11 135969 1012 1001 1 0.391495 0.391495 1 
-19.1826 -107.327 -50 0.0233168 -0.0760962 1.07363 18.6306 22 145883 1001 1 1 0 0 1 
-238.74 -190.822 -50 -0.0178829 0.0143715 1.31837 18.1827 22 150076 1001 1 1 0 0 1 
619.691 -407.322 -50 0.0689886 -0.0829122 0.808179 17.7914 22 154762 1001 1 1 0 0 1 
570.404 -1357.23 -50 0.0558248 -0.261441 0.902449 18.7848 22 156976 1001 1 1 0 0 1 
-652.172 307.468 -50 -0.10838 0.0601175 0.824867 17.6132 22 161834 1012 1 1 0.68211 0.68211 3 
-876.458 1979.07 -50 -0.151467 0.434494 0.927834 19.6553 22 164614 1001 1 1 0 0 1 
1673.92 -732.386 -50 0.207325 -0.078278 0.554433 19.0906 22 168787 1001 1 1 0.173629 0.173629 2 
-248.575 -90.427 -50 -0.119309 0.0305477 1.14022 18.1939 22 175602 1001 1 1 0.387412 0.387412 2 
-1407.21 -205.381 -50 -0.38152 -0.00730598 1.3041 18.3009 22 176945 1001 1 1 0 0 1 
-309.982 235.28 -50 -0.0367324 0.0227938 0.732304 17.7592 22 195691 1001 1 1 0.00801601 0.00801601 2 
1227.28 664.686 -50 0.256629 0.146991 1.11132 18.1915 22 196488 1001 1 1 0.412347 0.412347 2 
-527.168 -1447.26 -50 -0.0190842 -0.163174 0.412947 19.4406 22 197504 1001 1 1 0.232796 0.232796 4 
-1557.39 -244.204 -50 -0.262586 -0.0305666 0.894326 18.4828 22 203661 1001 1 1 0 0 1 
1191.63 121.223 -50 0.358794 0.0289853 1.6145 18.0388 22 205367 1001 1 1 0.556722 0.556722 3 
-1429.86 1520.92 -50 -0.0184357 0.0189841 0.0541292 19.4833 22 217806 1006 1001 1 0.00766323 0.00766323 3 
1071.26 -725.971 -50 0.143007 -0.101833 0.723551 18.0692 22 219151 1001 1 1 0.663143 0.663143 10 
1394.13 625.055 -50 0.188955 0.0750782 0.70281 18.7293 22 230843 1001 1 1 0 0 1 
1883.54 1775.47 -50 0.560502 0.553058 1.43091 19.6248 22 244557 1001 1 1 1.3217 1.3217 3 
811.99 1671.18 -50 0.119846 0.235683 0.662651 18.6255 22 252511 1001 1 1 0.643075 0.643075 7 
-1230.02 814.162 -50 -0.219668 0.14595 0.818318 18.259 22 252553 1010 1 1 0.788676 0.788676 7 
1595.4 1798.96 -50 0.474656 0.498149 1.50848 19.4788 22 254607 1001 1 1 1.57568 1.57568 6 
1078.74 -93.4385 -50 0.179062 0.0237925 0.752005 18.2787 22 269122 1001 1 1 0.638957 0.638957 6 
-349.835 -267.422 -50 -0.111343 -0.0597251 1.74634 17.7337 22 269389 1001 1 1 0.547582 0.547582 2 
1052.65 -1997.77 -50 0.143064 -0.3149 0.834787 19.664 22 270250 1001 1 1 0 0 1 
-1543.4 558.563 -50 -0.263793 0.0869145 0.769478 18.5067 22 270489 1001 1 1 0 0 1 
-1352.7 1930.19 -50 -0.13751 0.192816 0.516711 20.8846 22 273307 1001 1 1 0 0 1 
1219.75 1080.91 -50 0.0922031 0.0904592 0.342976 18.7641 22 280057 1001 1 1 0.200424 0.200424 2 
-1827.65 -993.503 -50 -0.24945 -0.181934 0.763752 20.7906 22 280535 1001 1 1 0.600513 0.600513 4 
300.299 -1153.15 -50 0.08362 -0.31871 1.30785 17.9216 22 283498 1015 1 1 0.126251 0.126251 2 
-1107.74 579.011 -50 -0.335954 0.0934016 1.20524 19.0918 22 286322 1001 1 1 1.02522 1.02522 2 
